PartNo,Freq,TotalQty,PartName,BoxType,CubM,UnitLabelQt,ModuleSizeL,ModuleSizeV,ModuleSizeH,VolumePerPiece,Volume,Viscosity,Rank,Category
DF7169531A75,158,15800,HANGER-COAT,4A032,0.004032,100,240,140,120,4.032e-05,0.637056,197.955823194237,174,Medium
DK5068YB1,155,92342,RET DR SCF PLT,5A,0.004032,600,240,140,120,6.72e-06,0.62053824,196.764806758043,175,Medium
DN3215186A,2280,45600,"HOSE-WATER,UP",II68,0.06,20,560,480,230,0.003,136.8,194.935886896179,176,Medium
DK5167C93A,153,91800,CLIP,4B46--,0.004032,600,240,140,120,6.72e-06,0.616896,194.798430618495,177,Medium
9XG093322M,371,1094870,NUT STAMPED M6HF,8AF13,0.01,3000,250,250,190,3.33333333333333e-06,3.64956666666667,194.201803584087,178,Medium
DK5157K30,1131,33930,SAS UNIT,4Q-,0.03,30,240,560,240,0.001,33.93,194.164878389476,179,Medium
9XG150652M,304,45750,BOLT M10X65 HF PIL,8AB22,0.008064,150,280,240,120,5.376e-05,2.45952,193.842233131233,180,Medium
9YA770501,151,271800,SCREW-TAPPING,4A063,0.004032,1800,240,140,120,2.24e-06,0.608832,193.521050083439,181,Medium
D35441673,371,74181,GROMMET,4B021,0.01,200,240,280,240,5e-05,3.70905,192.638268350911,182,Medium
9XG12993X3,290,226400,BOLT M8X21 PC TI P,8AH16,0.008064,800,280,240,120,1.008e-05,2.282112,191.968300720945,183,Medium
D53146550,368,36800,BRKT-CABLE,4B026,0.01,100,240,280,240,1e-04,3.68,191.833260932509,184,Medium
DG804371Y,4349,173958,"SENS ASSY-ABS,R,RH",4H035,0.12,40,480,560,480,0.003,521.874,190.373536338756,185,Medium
9YB160610,142,85200,NUT,4A014,0.004032,600,240,140,120,6.72e-06,0.572544,187.665271076601,186,Medium
9XG14273ZA,282,183300,BOLT M8X33 RC TI PI,8AD36,0.008064,650,280,240,120,1.24061538461538e-05,2.274048,187.003310385774,187,Medium
DK5161190D,2092,41822,CONTROL ASSY-HEATER,Z3013,0.06,20,560,480,240,0.003,125.466,186.766359718765,188,Medium
BP4K67519A,140,70000,CLIP,4A084,0.004032,500,240,140,120,8.064e-06,0.56448,186.338998124983,189,Medium
DK5162310D,1037,26894,LATCH ASSY-LIFTGATE,4Q-,0.03,26,480,280,240,0.00115384615384615,31.0315384615385,186.156027520962,190,Medium
FU5119065,138,165600,NUT,4A081,0.004032,1200,240,140,120,3.36e-06,0.556416,185.003217475239,191,Medium
9YA420609,137,204086,BOLT-EARTH,4A065,0.004032,1500,240,140,120,2.688e-06,0.548583168,184.969161607617,192,Medium
DL3357K30,1000,40000,SAS UNIT,4Q-,0.03,40,240,560,240,0.00075,30,182.574185835055,193,Medium
9XG013892M,266,212280,BOLT&WSHR M6X27.5 H,8AD25,0.008064,800,280,240,120,1.008e-05,2.1397824,181.843101930827,194,Medium
9YA650503,133,345800,SCREW-TAPPING,4A036,0.004032,2600,240,140,120,1.55076923076923e-06,0.536256,181.620789314195,195,Medium
9YB160611,131,260418,NUT,4A073,0.004032,2000,240,140,120,2.016e-06,0.525002688,180.796713708702,196,Medium
D65159951,1959,41139,"PAD,#1,LH",4I011,0.06,21,480,560,240,0.00285714285714286,117.54,180.693109995927,197,Medium
D65158951,1954,41034,"PAD,#1,RH",4I024,0.06,21,480,560,240,0.00285714285714286,117.24,180.462369115189,198,Medium
9XG133920M,262,170300,NUT M12X1 5,8AD56,0.008064,650,280,240,120,1.24061538461538e-05,2.112768,180.250046782461,199,Medium
DN3215185A,1875,37498,"HOSE-WATER,LOW",4Z30,0.06,20,560,480,230,0.003,112.494,176.781409530415,200,Medium
9YA590605A,126,56700,BOLT,IAXXX,0.004032,450,240,140,120,8.96e-06,0.508032,176.776695296637,201,Medium
9XF000242M,148,88254,BOLT,8AE42,0.004788,600,280,190,90,7.98e-06,0.70426692,176.357149472612,202,Medium
G51861764A,122,15860,SENSOR-AMBIENT,4A084,0.004032,130,240,140,120,3.10153846153846e-05,0.491904,173.948085669077,203,Medium
D65141600A,1806,37926,PEDAL ASSY-ACCEL,4I044,0.06,21,480,560,240,0.00285714285714286,108.36,173.493515728975,204,Medium
DN343717XA,1795,43045,CAP ASSY-WHL,2M17,0.06,24,560,480,250,0.0025,107.6125,173.034655445468,205,Medium
9XG15599X0,240,478584,RIVET BLIND 5 85,8AXXX,0.008064,2000,280,240,120,4.032e-06,1.929650688,172.771415894667,206,Medium
DN0357KM0,1772,10632,"A/B-CURTAIN,RH",4DGP,0.06,6,480,560,240,0.01,106.32,171.852650062003,207,Medium
9XG00671X0,270,539200,FASTENER,8AB21,0.009216,2000,240,160,240,4.608e-06,2.4846336,171.290227898706,208,Medium
9XG096389L,223,38880,BOLT,8AE42,0.0078,175,300,200,130,4.45714285714286e-05,1.73293714285714,169.40002025347,209,Medium
L20642240A,860,41280,COVER-DUST,4CD01,0.03,48,240,560,240,0.000625,25.8,169.312334656004,210,Medium
9XF004332M,229,91440,SCREW,8AA64,0.008064,400,280,240,120,2.016e-05,1.8434304,168.663888931884,211,Medium
DP04194J1,848,29680,COVER-END,4J75--,0.03,35,480,560,120,0.000857142857142857,25.44,168.126936172247,212,Medium
DH06676N8A,281,3372,BRKT-KEYLESS,4B036,0.01,12,390,290,150,0.000833333333333333,2.81,167.630546142402,213,Medium
9XG03453X0,111,44380,CLIP,8AE16,0.004032,400,240,140,120,1.008e-05,0.4473504,165.958332984135,214,Medium
170861031,271,162600,PLUG,4B025,0.01,600,240,280,240,1.66666666666667e-05,2.71,164.620776331543,215,Medium
D65168676,270,81000,"HOOK-SIDE,#1",4B-6A,0.01,300,240,280,240,3.33333333333333e-05,2.7,164.31676725155,216,Medium
DN2056031A,794,39700,CLAMP-BATTERY,4DB06,0.03,50,240,560,240,6e-04,23.82,162.685791225499,217,Medium
994641025,103,41200,BOLT,4A021,0.004032,400,240,140,120,1.008e-05,0.415296,159.830018834495,218,Medium
ZJ38188G1D,752,24064,SENS A/F RATIO,4C024,0.03,32,240,560,240,0.0009375,22.56,158.324561160506,219,Medium
853162873,101,80800,RUBBER-STOP,4A016,0.004032,800,240,140,120,5.04e-06,0.407232,158.270664289385,220,Medium
DN3456620A,740,20692,LATCH ASSY-BONNET,IQ-,0.03,28,280,480,240,0.00107142857142857,22.17,157.162479956251,221,Medium
B37F69220C,1479,44370,"MIRROR-R VIEW,IN",4I033,0.06,30,480,560,240,0.002,88.74,157.003184681076,222,Medium
DK5162310C,739,19202,LATCH ASSY-LIFTGATE,4Q-,0.03,26,480,280,240,0.00115384615384615,22.1561538461538,156.999132364166,223,Medium
D65156041A,1474,39798,TRAY-BATTERY,4I043,0.06,27,480,560,240,0.00222222222222222,88.44,156.737572606783,224,Medium
FNFB199E1,732,36600,HOSE-OIL,4C022,0.03,50,240,560,240,6e-04,21.96,156.204993518133,225,Medium
9XF000342M,130,45420,BOLT,8AD45,0.0054,350,300,200,90,1.54285714285714e-05,0.700765714285714,155.294805677517,226,Medium
DN3266470,240,38400,SW-PEDAL PUSH ON,4Z20,0.01,160,280,240,230,6.25e-05,2.4,154.919333848297,227,Medium
9XF001255J,189,37670,BOLT,8AB23,0.008064,200,280,240,120,4.032e-05,1.5188544,153.357045253581,228,Medium
BW2R67C42,94,18800,CLIP,4A083,0.004032,200,240,140,120,2.016e-05,0.379008,152.687563552151,229,Medium
DN2518881D,230,2293,CONTROL UNIT,Z2066,0.01,10,240,280,240,0.001,2.293,151.888820174004,230,Medium
GJ6A68885,93,93000,FASTENER,4A034,0.004032,1000,240,140,120,4.032e-06,0.374976,151.873224073489,231,Medium
9XG13911X3,185,370000,SCREW 6X25 PC TI TF,8AE65,0.008064,2000,280,240,120,4.032e-06,1.49184,151.464412499994,232,Medium
9X707612X0,92,91840,NUT,8AXXX,0.004032,1000,240,140,120,4.032e-06,0.37029888,151.186017840564,233,Medium
D65133048,228,182338,RING-RET,4B026,0.01,800,240,280,240,1.25e-05,2.279225,151.022358064016,234,Medium
D65146086A,228,4560,BRKT-CABLE,4B031,0.01,20,240,280,240,5e-04,2.28,150.996688705415,235,Medium
D65172973A,228,41040,HOLE COVER,4B032,0.01,180,240,280,240,5.55555555555556e-05,2.28,150.996688705415,236,Medium
D65173973A,228,41040,HOLE COVER,4B032,0.01,180,240,280,240,5.55555555555556e-05,2.28,150.996688705415,237,Medium
9XG036623H,183,182680,NUT,8AE25,0.008064,1000,280,240,120,8.064e-06,1.47313152,150.775344245732,238,Medium
9XG05125X3,182,91000,BOLT&WSHR M8X16 PN,8AA25,0.008064,500,280,240,120,1.6128e-05,1.467648,150.231303144333,239,Medium
994590612,90,162000,BOLT,4A025,0.004032,1800,240,140,120,2.24e-06,0.36288,149.403576166799,240,Medium
9XG10461X0,180,90000,CAP,5DE16,0.008064,500,280,240,120,1.6128e-05,1.45152,149.403576166799,241,Medium
BC1D45916,221,442000,HOLDER-PIPE,4B016,0.01,2000,240,280,240,5e-06,2.21,148.660687473185,242,Medium
994640625,89,97900,BOLT,4A023,0.004032,1100,240,140,120,3.66545454545455e-06,0.358848,148.571237789865,243,Medium
S08462625C,89,44500,STUD-BALL,4A014,0.004032,500,240,140,120,8.064e-06,0.358848,148.571237789865,244,Medium
DN56568D0,220,22000,SW ASSY-TRUNK OPEN,4B023,0.01,100,240,280,240,1e-04,2.2,148.323969741913,245,Medium
DN036756XB,654,20924,BCM COMPT,4Q-,0.03,32,240,560,240,0.0009375,19.61625,147.662342739102,246,Medium
9XF201012M,121,362200,NUT M6 HF PTM 8,8A-,0.005625,3000,250,150,150,1.875e-06,0.679125,146.828550453987,247,Medium
DE9069220A,860,34379,"MIRROR-R VIEW,IN",IZ25,0.04,40,550,350,250,0.001,34.379,146.673559366537,248,Medium
9XG142887L,172,59824,BOLT,8AE14,0.008064,350,280,240,120,2.304e-05,1.37834496,146.504001089206,249,Medium
GJ2168885B75,78,39000,FASTENER,4A071,0.003696,500,240,140,110,7.392e-06,0.288288,145.271800786994,250,Medium
D65161202,85,85000,CAP,4A082,0.004032,1000,240,140,120,4.032e-06,0.34272,145.194177591077,251,Medium
DF7841600A,1256,37680,PEDAL ASSY-ACCEL,Z3026,0.06,30,560,480,240,0.002,75.36,144.683562761405,252,Medium
LF5015205A,207,47430,CAP-RAD,IZ25,0.01,230,240,280,240,4.34782608695652e-05,2.06217391304348,144.147694656428,253,Medium
DN3237YA3A,413,4130,COMPR ASY AIR,4C62-,0.02,10,394,321,191,0.002,8.26,143.701078631999,254,Low
D65143825C,206,41200,CLIP-VAC HOSE,5BC14,0.01,200,240,280,240,5e-05,2.06,143.527000944073,255,Low
9YA020658,83,83000,BOLT,4A046,0.004032,1000,240,140,120,4.032e-06,0.334656,143.475842776118,256,Low
D65168AD2A,205,41000,CLIP,4B032,0.01,200,240,280,240,5e-05,2.05,143.178210632764,257,Low
9YA010509,71,85400,BOLT,5A064,0.004032,1400,240,140,120,2.88e-06,0.245952,143.163784221682,258,Low
ZJ3920310,1221,36630,PIPE ASSY-EGR,4I031,0.06,30,480,560,240,0.002,73.26,142.653426176871,259,Low
DK5268YA2A,145,202360,TAPE MSK,Z1516,0.007161,1400,330,310,70,5.115e-06,1.0350714,142.522308380978,260,Low
DF7145460,81,4031,JOINT-PIPE,4A083,0.004032,50,240,140,120,8.064e-05,0.32505984,142.070320517453,261,Low
9YA020668,81,81000,BOLT,4A041,0.004032,1000,240,140,120,4.032e-06,0.326592,141.73667737846,262,Low
GJ6E51832A,81,81000,GROMMET-SCREW,4A026,0.004032,1000,240,140,120,4.032e-06,0.326592,141.73667737846,263,Low
EA0332C18A,80,12000,HOSE-CLANP,4A052,0.004032,150,240,140,120,2.688e-05,0.32256,140.859042454753,264,Low
9XG010692M,156,70200,SCREW,8AB24,0.008064,450,280,240,120,1.792e-05,1.257984,139.087160066047,265,Low
DR8657730B,384,6902,BELT-B,4Q-21,0.02,18,390,300,230,0.00111111111111111,7.66888888888889,138.664407919845,266,Low
DN2413382,192,38400,INSULATOR-HEAT,4B-54,0.01,200,240,280,240,5e-05,1.92,138.56406460551,267,Low
9XG083322M,153,45820,BOLT,8AE43,0.008064,300,280,240,120,2.688e-05,1.2316416,137.863486121732,268,Low
DN2418861A,570,45598,SENSOR-OXYGEN,4Q-,0.03,80,430,320,230,0.000375,17.09925,137.843510438049,269,Low
DN4857730C,379,6822,BELT-B,IXXXX,0.02,18,380,280,200,0.00111111111111111,7.58,137.658998979362,270,Low
DN3237YA2,561,11206,SE TIR REP,4C-,0.03,20,240,560,240,0.0015,16.809,136.83333835138,271,Low
9XG01054X0,186,185680,FASTENER,8BD35,0.01,1000,280,240,240,1e-05,1.8568,136.499286256899,272,Low
9XG10850X0,75,172340,GROMMET,8AD14,0.004032,2300,240,140,120,1.75304347826087e-06,0.302119513043478,136.449476995007,273,Low
D35262625,75,37500,STUD-BALL,4A081,0.004032,500,240,140,120,8.064e-06,0.3024,136.386181397495,274,Low
EG2151146,75,37500,FASTENER-LAMP,4A014,0.004032,500,240,140,120,8.064e-06,0.3024,136.386181397495,275,Low
DL413298002,1645,8225,BOSS ASSY-STEER,4STW,0.09,5,400,400,617,0.018,148.05,135.195331937822,276,Low
ZJ38188G1C,548,17536,SENS A/F RATIO,4C024,0.03,32,240,560,240,0.0009375,16.44,135.154232884755,277,Low
DN326124YA,1112,45660,HOSE ASSY-WATER;#2,4Z3071,0.06,40,480,560,230,0.0015,68.49,134.366561692831,278,Low
D65156651,1030,41200,STAY-BONNET,4B60-R,0.06,40,240,1120,240,0.0015,61.8,131.021626713557,279,Low
DK5066151,170,15300,SWITCH-IGNITION,4B45--,0.01,90,240,280,240,0.000111111111111111,1.7,130.384048104053,280,Low
G51861764,68,8836,SENSOR-AMBIENT,4A084,0.004032,130,240,140,120,3.10153846153846e-05,0.274051938461538,129.895011749226,281,Low
DN1439080,504,8061,BRKT-ENG;#4,4Q-,0.03,16,240,560,240,0.001875,15.114375,129.638930595767,282,Low
D35467519,67,40200,CLIP,4A032,0.004032,600,240,140,120,6.72e-06,0.270144,128.907189450641,283,Low
DN4866960A,659,92078,SPEAKER ASSY,4I23--,0.04,140,550,490,180,0.000285714285714286,26.308,128.481766173316,284,Low
DN244655Y,163,8150,BRKT-CABLE,4B74--,0.01,50,240,280,240,2e-04,1.63,127.671453348037,285,Low
GJ6A50ES1,161,80500,GROMMET,4B023,0.01,500,240,280,240,2e-05,1.61,126.885775404495,286,Low
9XG001332M,129,180120,SCREW&WSHR 5.9X23 H,8AD44,0.008064,1400,280,240,120,5.76e-06,1.0374912,126.647756077539,287,Low
GJ2168885B36,59,29500,FASTENER,4A061,0.003696,500,240,140,110,7.392e-06,0.218064,126.345571601079,288,Low
D65167420,957,19140,"ARM&BLADE SET,R",4I055,0.06,20,480,560,240,0.003,57.42,126.293309403151,289,Low
BN8V50715A,64,64000,FASTENER,4A085,0.004032,1000,240,140,120,4.032e-06,0.258048,125.988157669742,290,Low
DN241886ZC,476,38080,SENS SUBASSY-OXYGEN,4Q-,0.03,80,430,320,230,0.000375,14.28,125.962957517941,291,Low
DK4963YB1A,156,38800,BRKT L C DR LFT ON,5BT51,0.01,250,240,280,240,4e-05,1.552,125.221453318247,292,Low
DP0418884A,467,37358,BRKT-C/UNIT,4D,0.03,80,480,290,240,0.000375,14.00925,124.769788188541,293,Low
DK4963YB2A,155,38750,BRKT L C DR LFT ON,5BT53,0.01,250,240,280,240,4e-05,1.55,124.498995979887,294,Low
DN0361YC1,156,39358,SDR ASY LOW AIR TEM,5B021,0.01,250,240,280,240,4e-05,1.57432,124.330617893828,295,Low
C20113460,113,45200,GSKT ASSY-EXH MANI,5A37X,0.007392,400,280,240,110,1.848e-05,0.835296,123.639785412288,296,Low
9XG022369L,119,29750,BOLT,8AA33,0.0078,250,300,200,130,3.12e-05,0.9282,123.516841994969,297,Low
DN321553X,913,45609,PIPE&HOSE ASSY-W,4IE5,0.06,50,480,560,230,0.0012,54.7308,123.411286432483,298,Low
DK4964950B68,451,3157,"PANEL ASSY-SIDE,RH",4C-,0.03,7,240,560,240,0.00428571428571429,13.53,122.610494384997,299,Low
DK496452068,449,3135,"COVER ASSY-UNDER,RH",4C-,0.03,7,240,560,240,0.00428571428571429,13.4357142857143,122.49432279698,300,Low
DN3213381,150,7500,INSULATOR-HEAT,Z2061,0.01,50,240,280,240,2e-04,1.5,122.474487139159,301,Low
DP0418881K,893,17860,CONTROL UNIT,IIXXX,0.06,20,560,490,250,0.003,53.58,121.997267728967,302,Low
DG9972863,148,44400,PAD,4B033,0.01,300,240,280,240,3.33333333333333e-05,1.48,121.655250605964,303,Low
9XF006342M,119,45140,SCREW,8AXXX,0.008064,380,280,240,120,2.1221052631579e-05,0.957918315789474,121.585762516946,304,Low
DK4964960D68,441,3087,"PANEL ASSY-SIDE,LH",4Q-,0.03,7,240,560,240,0.00428571428571429,13.23,121.243556529821,305,Low
DK4373YA3A91,146,6962,CVR ASY RR DR WDO G,4HU16,0.01,48,480,290,120,0.000208333333333333,1.45041666666667,121.228983880117,306,Low
GAL169470B75,869,34760,HANDLE-ASSIST,4I045,0.06,40,480,560,240,0.0015,52.14,120.346721323571,307,Low
DL3355540,430,20640,IND SEAT BELT,4CC08,0.03,48,240,560,240,0.000625,12.9,119.721899973786,308,Low
DN3215909,426,42597,BELT-V RIB,4Q-,0.03,100,240,560,280,3e-04,12.7791,119.167949006549,309,Low
B61220468,141,84600,CLIP,4B025,0.01,600,240,280,240,1.66666666666667e-05,1.41,118.743420870379,310,Low
9X701107X3,137,273520,SCREW-TAPPING,8AB13,0.0098,2000,280,250,140,4.9e-06,1.340248,118.339024035919,311,Low
BR7051264,140,210000,HOLE PLUG,4B016,0.01,1500,240,280,240,6.66666666666667e-06,1.4,118.321595661992,312,Low
9YA420602,56,100362,BOLT-EARTH,4A056,0.004032,1800,240,140,120,2.24e-06,0.22481088,118.10801327541,313,Low
9XG034042M,112,89600,BOLT,8AD34,0.008064,800,280,240,120,1.008e-05,0.903168,117.851130197758,314,Low
9YA020661,56,25200,BOLT,4A044,0.004032,450,240,140,120,8.96e-06,0.225792,117.851130197758,315,Low
DK4363YB3C,277,13824,SPG L C DR,Z2071,0.02,50,380,280,240,4e-04,5.5296,117.796642144261,316,Low
9XG035052M,110,1097840,CLIP,8AA16,0.008064,10000,280,240,120,8.064e-07,0.885298176,116.908987811232,317,Low
D65156652,136,40800,HOLDER-ROD,4B031,0.01,300,240,280,240,3.33333333333333e-05,1.36,116.619037896906,318,Low
DJ3539040A,396,7920,RUB-E/MTG;#1,4Q-,0.03,20,240,560,240,0.0015,11.88,114.891252930761,319,Low
994500616,53,79500,BOLT,4A013,0.004032,1500,240,140,120,2.688e-06,0.213696,114.650954072966,320,Low
DN0357K30,394,11820,SAS UNIT,4Q-,0.03,30,240,560,240,0.001,11.82,114.600756251141,321,Low
9XG13939X0,121,181500,RIVET PUSH PIN 10X3,8AE11,0.009216,1500,240,160,240,6.144e-06,1.115136,114.583333333333,322,Low
DJ5143825A,131,45850,CLIP-VAC HOSE,4B78,0.01,350,240,280,240,2.85714285714286e-05,1.31,114.455231422596,323,Low
DN3256620A,392,10976,LATCH ASSY-BONNET,4Q-,0.03,28,480,280,240,0.00107142857142857,11.76,114.309521329882,324,Low
DL4046030,130,4160,KNOB-CHANGE,4B033,0.01,32,240,280,240,0.0003125,1.3,114.017542509914,325,Low
GAL269470B75,780,31200,HANDLE-ASSIST,4I062,0.06,40,480,560,240,0.0015,46.8,114.017542509914,326,Low
FD0168AC3,129,258000,FASTENER,4B023,0.01,2000,240,280,240,5e-06,1.29,113.578166916005,327,Low
9YA010510,52,78000,BOLT,4A036,0.004032,1500,240,140,120,2.688e-06,0.209664,113.564190644874,328,Low
9YB120607,52,78000,WASHER AND NUT,4A072,0.004032,1500,240,140,120,2.688e-06,0.209664,113.564190644874,329,Low
D651624B0B,127,19050,SWITCH ASSY-OPEN,4B031,0.01,150,240,280,240,6.66666666666667e-05,1.27,112.694276695846,330,Low
9XG037157L,101,181800,SCREW,8AE11,0.008064,1800,240,280,120,4.48e-06,0.814464,111.914259981924,331,Low
9YA021064,50,4500,BOLT,4A052,0.004032,90,240,140,120,4.48e-05,0.2016,111.358850796843,332,Low
FNFB199G1,367,36700,HOSE-OIL,4DB08,0.03,100,240,560,240,3e-04,11.01,110.60440015358,333,Low
G05425421,49,49000,CLIP,IAXXX,0.004032,1000,240,140,120,4.032e-06,0.197568,110.239637961025,334,Low
C23556860,364,38220,LEVERR-OPENER,4C031,0.03,105,240,560,240,0.000285714285714286,10.92,110.151410945722,335,Low
F15158866,358,358000,PLUG-HOLE,4C021,0.03,1000,240,560,240,3e-05,10.74,109.239797387826,336,Low
9XG000057L,92,73440,BOLT,8AD43,0.0078,800,300,200,130,9.75e-06,0.71604,108.72243872961,337,Low
DN3266YH1,347,21861,SW ASY HD LP DMR,4IF3--,0.03,63,560,240,240,0.000476190476190476,10.41,107.548438699345,338,Low
D65167B1X,115,4600,BRKT ASSY,4B031,0.01,40,240,280,240,0.00025,1.15,107.238052947636,339,Low
9XG054481M,92,182820,NUT,8AF15,0.008064,2000,280,240,120,4.032e-06,0.73713024,107.155807486272,340,Low
GJ6E50715B,46,92000,FASTENER,4A025,0.004032,2000,240,140,120,2.016e-06,0.185472,106.811657410276,341,Low
DP0757L90H,455,4550,"BELT-B,P/TENS",DGP,0.04,10,570,490,150,0.004,18.2,106.653645038508,342,Low
ZJ0116410,678,2712,COVER ASSY-CLUTCH,4I021,0.06,4,480,560,240,0.015,40.68,106.301458127347,343,Low
GJ6A58512,329,329000,HOLDER-GLASS,4C036,0.03,1000,240,560,240,3e-05,9.87,104.721853816033,344,Low
DK5157K1XA,219,45990,"D/SENSOR-AIRBAG,CTR",Z2065,0.02,210,350,270,270,9.52380952380952e-05,4.38,104.642247682282,345,Low
C60225741,328,45919,BRKT,4IBXX,0.03,140,240,560,240,0.000214285714285714,9.83978571428571,104.563719490828,346,Low
DN3250891,44,92340,SPACER,4B44--,0.004032,2100,240,140,120,1.92e-06,0.1772928,104.497795119784,347,Low
DN326122Y,652,45600,PIPE ASSY-WATER,4IF4,0.06,70,480,560,230,0.000857142857142857,39.0857142857143,104.28901586653,348,Low
DN7409010A,106,424,KEY SET,4H-,0.01,4,240,560,120,0.0025,1.06,102.95630140987,349,Low
H26061895,42,83963,RIVET-PLASTIK,4A025,0.004032,2000,240,140,120,2.016e-06,0.169269408,102.084558000915,350,Low
9XG065577L,84,84000,BOLT&WSHR M6X16,8FXXX,0.008064,1000,280,240,120,8.064e-06,0.677376,102.062072615966,351,Low
