"CabinetNo","FloorNo","FloorID","PartNo","PartName","Viscosity","Freq","FreqRank","PositionsAllocated","BoxesAllocated","BoxesPerPosition","PositionWidth_mm","WidthUsed_mm","PositionVolumeUsed_m3","BoxVolumeUsed_m3","PositionUtilization_pct","PercentOfFloorWidth","PercentOfFloorVolume","BoxWidth_mm","BoxDepth_mm","BoxHeight_mm","BoxesPerHeight","BoxesPerDepth","IsPrimary","IsBackfill"
1,1,"C01F1","D65133047B","BRG-WHL",994.685880064656,9894,1,7,14,2,280,1960,0.39984,0.14,35.0140056022409,98.989898989899,98.989898989899,280,240,240,1,2,TRUE,FALSE
1,2,"C01F2","D65133047B","BRG-WHL",994.685880064656,9894,1,7,14,2,280,1960,0.39984,0.14,35.0140056022409,98.989898989899,98.989898989899,280,240,240,1,2,TRUE,FALSE
1,3,"C01F3","D65133047B","BRG-WHL",994.685880064656,9894,1,7,14,2,280,1960,0.39984,0.14,35.0140056022409,98.989898989899,98.989898989899,280,240,240,1,2,TRUE,FALSE
1,4,"C01F4","D65133047B","BRG-WHL",994.685880064656,9894,1,7,14,2,280,1960,0.39984,0.14,35.0140056022409,98.989898989899,98.989898989899,280,240,240,1,2,TRUE,FALSE
1,5,"C01F5","D65133047B","BRG-WHL",994.685880064656,9894,1,7,14,2,280,1960,0.39984,0.14,35.0140056022409,98.989898989899,98.989898989899,280,240,240,1,2,TRUE,FALSE
2,1,"C02F1","D65239060H","RUB-E/MTG;#3",887.355622059161,7874,3,7,14,2,280,1960,0.39984,0.14,35.0140056022409,98.989898989899,98.989898989899,280,240,240,1,2,TRUE,FALSE
2,2,"C02F2","C23750EJ0","HOOK ASSY-TOWING",963.366699043203,3742,11,8,64,8,240,1920,0.39168,0.258048,65.8823529411765,96.969696969697,96.969696969697,240,140,120,2,4,TRUE,FALSE
2,3,"C02F3","D65133047B","BRG-WHL",994.685880064656,9894,1,4,8,2,280,1120,0.22848,0.08,35.0140056022409,56.5656565656566,56.5656565656566,280,240,240,1,2,TRUE,FALSE
2,3,"C02F3","C23750EJ0","HOOK ASSY-TOWING",963.366699043203,3742,11,3,24,8,240,720,0.14688,0.096768,65.8823529411765,36.3636363636364,36.3636363636364,240,140,120,2,4,TRUE,FALSE
2,4,"C02F4","C23750EJ0","HOOK ASSY-TOWING",963.366699043203,3742,11,4,32,8,240,960,0.19584,0.129024,65.8823529411765,48.4848484848485,48.4848484848485,240,140,120,2,4,TRUE,FALSE
2,4,"C02F4","D65239060H","RUB-E/MTG;#3",887.355622059161,7874,3,3,6,2,280,840,0.17136,0.06,35.0140056022409,42.4242424242424,42.4242424242424,280,240,240,1,2,TRUE,FALSE
2,5,"C02F5","D65239060H","RUB-E/MTG;#3",887.355622059161,7874,3,7,14,2,280,1960,0.39984,0.14,35.0140056022409,98.989898989899,98.989898989899,280,240,240,1,2,TRUE,FALSE
3,1,"C03F1","9YA02122N","BOLT",880.509863117739,3126,17,8,64,8,240,1920,0.39168,0.258048,65.8823529411765,96.969696969697,96.969696969697,240,140,120,2,4,TRUE,FALSE
3,2,"C03F2","D65239060H","RUB-E/MTG;#3",887.355622059161,7874,3,7,14,2,280,1960,0.39984,0.14,35.0140056022409,98.989898989899,98.989898989899,280,240,240,1,2,TRUE,FALSE
3,3,"C03F3","D65239060H","RUB-E/MTG;#3",887.355622059161,7874,3,7,14,2,280,1960,0.39984,0.14,35.0140056022409,98.989898989899,98.989898989899,280,240,240,1,2,TRUE,FALSE
3,4,"C03F4","D65239060H","RUB-E/MTG;#3",887.355622059161,7874,3,3,6,2,280,840,0.17136,0.06,35.0140056022409,42.4242424242424,42.4242424242424,280,240,240,1,2,TRUE,FALSE
3,4,"C03F4","9YA02122N","BOLT",880.509863117739,3126,17,4,32,8,240,960,0.19584,0.129024,65.8823529411765,48.4848484848485,48.4848484848485,240,140,120,2,4,TRUE,FALSE
3,5,"C03F5","9YA02122N","BOLT",880.509863117739,3126,17,1,8,8,240,240,0.04896,0.032256,65.8823529411765,12.1212121212121,12.1212121212121,240,140,120,2,4,TRUE,FALSE
3,5,"C03F5","9YA02100N","BOLT",868.741792241689,3043,18,7,56,8,240,1680,0.34272,0.225792,65.8823529411765,84.8484848484848,84.8484848484848,240,140,120,2,4,TRUE,FALSE
4,1,"C04F1","GJ2168885B02","FASTENER",803.988234478397,2126,25,6,60,10,230,1380,0.28152,0.19734,70.0980392156863,69.6969696969697,69.6969696969697,230,130,110,2,5,TRUE,FALSE
4,1,"C04F1","D651437A0D","HYDRAULIC UNIT-ABS",795.612971236643,6330,4,1,4,4,560,560,0.11424,0.04,35.0140056022409,28.2828282828283,28.2828282828283,560,240,120,2,2,TRUE,FALSE
4,2,"C04F2","DN3437160","NUT-HUB",862.294373924351,2998,19,8,64,8,240,1920,0.39168,0.258048,65.8823529411765,96.969696969697,96.969696969697,240,140,120,2,4,TRUE,FALSE
4,3,"C04F3","9YA02100N","BOLT",868.741792241689,3043,18,6,48,8,240,1440,0.29376,0.193536,65.8823529411765,72.7272727272727,72.7272727272727,240,140,120,2,4,TRUE,FALSE
4,3,"C04F3","DN3437160","NUT-HUB",862.294373924351,2998,19,2,16,8,240,480,0.09792,0.064512,65.8823529411765,24.2424242424242,24.2424242424242,240,140,120,2,4,TRUE,FALSE
4,4,"C04F4","DN3437160","NUT-HUB",862.294373924351,2998,19,3,24,8,240,720,0.14688,0.096768,65.8823529411765,36.3636363636364,36.3636363636364,240,140,120,2,4,TRUE,FALSE
4,4,"C04F4","GJ2168885B02","FASTENER",803.988234478397,2126,25,5,50,10,230,1150,0.2346,0.16445,70.0980392156863,58.0808080808081,58.0808080808081,230,130,110,2,5,TRUE,FALSE
4,5,"C04F5","D651437A0D","HYDRAULIC UNIT-ABS",795.612971236643,6330,4,3,12,4,560,1680,0.34272,0.12,35.0140056022409,84.8484848484848,84.8484848484849,560,240,120,2,2,TRUE,FALSE
4,5,"C04F5","9YA02100P","BOLT",681.203125662749,1871,32,1,8,8,240,240,0.04896,0.032256,65.8823529411765,12.1212121212121,12.1212121212121,240,140,120,2,4,TRUE,FALSE
5,1,"C05F1","D651437A0D","HYDRAULIC UNIT-ABS",795.612971236643,6330,4,2,8,4,560,1120,0.22848,0.08,35.0140056022409,56.5656565656566,56.5656565656566,560,240,120,2,2,TRUE,FALSE
5,1,"C05F1","9YA02100P","BOLT",681.203125662749,1871,32,3,24,8,240,720,0.14688,0.096768,65.8823529411765,36.3636363636364,36.3636363636364,240,140,120,2,4,TRUE,FALSE
5,2,"C05F2","D651437A0D","HYDRAULIC UNIT-ABS",795.612971236643,6330,4,3,12,4,560,1680,0.34272,0.12,35.0140056022409,84.8484848484848,84.8484848484849,560,240,120,2,2,TRUE,FALSE
5,2,"C05F2","9YA02100P","BOLT",681.203125662749,1871,32,1,8,8,240,240,0.04896,0.032256,65.8823529411765,12.1212121212121,12.1212121212121,240,140,120,2,4,TRUE,FALSE
5,3,"C05F3","D651437A0D","HYDRAULIC UNIT-ABS",795.612971236643,6330,4,3,12,4,560,1680,0.34272,0.12,35.0140056022409,84.8484848484848,84.8484848484849,560,240,120,2,2,TRUE,FALSE
5,3,"C05F3","9YA02100P","BOLT",681.203125662749,1871,32,1,8,8,240,240,0.04896,0.032256,65.8823529411765,12.1212121212121,12.1212121212121,240,140,120,2,4,TRUE,FALSE
5,4,"C05F4","D651437A0D","HYDRAULIC UNIT-ABS",795.612971236643,6330,4,3,12,4,560,1680,0.34272,0.12,35.0140056022409,84.8484848484848,84.8484848484849,560,240,120,2,2,TRUE,FALSE
5,4,"C05F4","9YA02100P","BOLT",681.203125662749,1871,32,1,8,8,240,240,0.04896,0.032256,65.8823529411765,12.1212121212121,12.1212121212121,240,140,120,2,4,TRUE,FALSE
5,5,"C05F5","9YA02100P","BOLT",681.203125662749,1871,32,3,24,8,240,720,0.14688,0.096768,65.8823529411765,36.3636363636364,36.3636363636364,240,140,120,2,4,TRUE,FALSE
5,5,"C05F5","D65133042A","NUT-LOCK",642.802025855897,1666,36,5,40,8,240,1200,0.2448,0.16128,65.8823529411765,60.6060606060606,60.6060606060606,240,140,120,2,4,TRUE,FALSE
6,1,"C06F1","DN3409010A","KEY SET",602.162109692404,1462,43,8,64,8,240,1920,0.39168,0.258048,65.8823529411765,96.969696969697,96.969696969697,240,140,120,2,4,TRUE,FALSE
6,2,"C06F2","997961260","BOLT",627.77163222164,1589,39,7,56,8,240,1680,0.34272,0.225792,65.8823529411765,84.8484848484848,84.8484848484848,240,140,120,2,4,TRUE,FALSE
6,2,"C06F2","B00237160B","NUT-HUB",603.396471308295,1468,42,1,8,8,240,240,0.04896,0.032256,65.8823529411765,12.1212121212121,12.1212121212121,240,140,120,2,4,TRUE,FALSE
6,3,"C06F3","D65133042A","NUT-LOCK",642.802025855897,1666,36,5,40,8,240,1200,0.2448,0.16128,65.8823529411765,60.6060606060606,60.6060606060606,240,140,120,2,4,TRUE,FALSE
6,3,"C06F3","997961260","BOLT",627.77163222164,1589,39,3,24,8,240,720,0.14688,0.096768,65.8823529411765,36.3636363636364,36.3636363636364,240,140,120,2,4,TRUE,FALSE
6,4,"C06F4","B00237160B","NUT-HUB",603.396471308295,1468,42,8,64,8,240,1920,0.39168,0.258048,65.8823529411765,96.969696969697,96.969696969697,240,140,120,2,4,TRUE,FALSE
6,5,"C06F5","DN3409010A","KEY SET",602.162109692404,1462,43,1,8,8,240,240,0.04896,0.032256,65.8823529411765,12.1212121212121,12.1212121212121,240,140,120,2,4,TRUE,FALSE
6,5,"C06F5","994540895","BOLT-FLANGE",561.451845311042,1271,45,7,56,8,240,1680,0.34272,0.225792,65.8823529411765,84.8484848484848,84.8484848484848,240,140,120,2,4,TRUE,FALSE
7,1,"C07F1","9XG013312M","BOLT",508.490977651077,1238,47,1,9,9,280,280,0.05712,0.043092,75.4411764705882,14.1414141414141,14.1414141414141,280,190,90,3,3,TRUE,FALSE
7,1,"C07F1","9YA020669","BOLT",495.765801723687,991,53,7,56,8,240,1680,0.34272,0.225792,65.8823529411765,84.8484848484848,84.8484848484848,240,140,120,2,4,TRUE,FALSE
7,2,"C07F2","9YA020843","BOLT",526.810935635131,1119,50,8,64,8,240,1920,0.39168,0.258048,65.8823529411765,96.969696969697,96.969696969697,240,140,120,2,4,TRUE,FALSE
7,3,"C07F3","994540895","BOLT-FLANGE",561.451845311042,1271,45,2,16,8,240,480,0.09792,0.064512,65.8823529411765,24.2424242424242,24.2424242424242,240,140,120,2,4,TRUE,FALSE
7,3,"C07F3","9XG013312M","BOLT",508.490977651077,1238,47,5,45,9,280,1400,0.2856,0.21546,75.4411764705882,70.7070707070707,70.7070707070707,280,190,90,3,3,TRUE,FALSE
7,4,"C07F4","DP0467B21A","BRKT",510.310363079829,1050,52,8,64,8,240,1920,0.39168,0.258048,65.8823529411765,96.969696969697,96.969696969697,240,140,120,2,4,TRUE,FALSE
7,5,"C07F5","9YA020669","BOLT",495.765801723687,991,53,1,8,8,240,240,0.04896,0.032256,65.8823529411765,12.1212121212121,12.1212121212121,240,140,120,2,4,TRUE,FALSE
7,5,"C07F5","9XG14343ZC","BOLT&WSHR M14X75 HF",494.76425362658,1974,30,6,24,4,280,1680,0.34272,0.193536,56.4705882352941,84.8484848484848,84.8484848484849,280,240,120,2,2,TRUE,FALSE
8,1,"C08F1","9YA420803","SCREW",479.748611419283,928,58,5,40,8,240,1200,0.2448,0.16128,65.8823529411765,60.6060606060606,60.6060606060606,240,140,120,2,4,TRUE,FALSE
8,1,"C08F1","9XG099317L","BOLT M5X16 HF PIL A",468.501918479581,1770,35,2,8,4,280,560,0.11424,0.064512,56.4705882352941,28.2828282828283,28.2828282828283,280,240,120,2,2,TRUE,FALSE
8,1,"C08F1","DK4962361D","STRIKER-LIFTGATE",440.918891234766,772,67,1,9,9,220,220,0.04488,0.035739,79.6323529411765,11.1111111111111,11.1111111111111,220,190,95,3,3,TRUE,FALSE
8,2,"C08F2","9YA670603","SCREW-TAPPING",493.760673985488,983,54,8,64,8,240,1920,0.39168,0.258048,65.8823529411765,96.969696969697,96.969696969697,240,140,120,2,4,TRUE,FALSE
8,3,"C08F3","9XG14343ZC","BOLT&WSHR M14X75 HF",494.76425362658,1974,30,5,20,4,280,1400,0.2856,0.16128,56.4705882352941,70.7070707070707,70.7070707070707,280,240,120,2,2,TRUE,FALSE
8,3,"C08F3","9YA420803","SCREW",479.748611419283,928,58,2,16,8,240,480,0.09792,0.064512,65.8823529411765,24.2424242424242,24.2424242424242,240,140,120,2,4,TRUE,FALSE
8,4,"C08F4","011856241","PLUG-DRAIN",493.006648591635,980,56,8,64,8,240,1920,0.39168,0.258048,65.8823529411765,96.969696969697,96.969696969697,240,140,120,2,4,TRUE,FALSE
8,5,"C08F5","9XG099317L","BOLT M5X16 HF PIL A",468.501918479581,1770,35,7,28,4,280,1960,0.39984,0.225792,56.4705882352941,98.989898989899,98.989898989899,280,240,120,2,2,TRUE,FALSE
9,1,"C09F1","D65167320A","ARM&BLADE SET,F",453.541618817943,2057,26,3,15,5,480,1440,0.29376,0.15,51.062091503268,72.7272727272727,72.7272727272727,480,120,240,1,5,TRUE,FALSE
9,1,"C09F1","D6516732XB","ARM&BLADE SET,F,PGR",452.990066116245,2052,27,1,5,5,480,480,0.09792,0.05,51.062091503268,24.2424242424242,24.2424242424242,480,120,240,1,5,TRUE,FALSE
9,2,"C09F2","9YA021104","BOLT",465.847495312456,875,59,7,56,8,240,1680,0.34272,0.225792,65.8823529411765,84.8484848484848,84.8484848484848,240,140,120,2,4,TRUE,FALSE
9,2,"C09F2","9YA750603","BOLT",464.781481340237,871,60,1,8,8,240,240,0.04896,0.032256,65.8823529411765,12.1212121212121,12.1212121212121,240,140,120,2,4,TRUE,FALSE
9,3,"C09F3","9XG099317L","BOLT M5X16 HF PIL A",468.501918479581,1770,35,1,4,4,280,280,0.05712,0.032256,56.4705882352941,14.1414141414141,14.1414141414141,280,240,120,2,2,TRUE,FALSE
9,3,"C09F3","D65167320A","ARM&BLADE SET,F",453.541618817943,2057,26,3,15,5,480,1440,0.29376,0.15,51.062091503268,72.7272727272727,72.7272727272727,480,120,240,1,5,TRUE,FALSE
9,3,"C09F3","D65133042","NUT-LCOK",449.591966685278,815,63,1,8,8,240,240,0.04896,0.032256,65.8823529411765,12.1212121212121,12.1212121212121,240,140,120,2,4,TRUE,FALSE
9,4,"C09F4","9YA750603","BOLT",464.781481340237,871,60,6,48,8,240,1440,0.29376,0.193536,65.8823529411765,72.7272727272727,72.7272727272727,240,140,120,2,4,TRUE,FALSE
9,4,"C09F4","D65167320A","ARM&BLADE SET,F",453.541618817943,2057,26,1,5,5,480,480,0.09792,0.05,51.062091503268,24.2424242424242,24.2424242424242,480,120,240,1,5,TRUE,FALSE
9,5,"C09F5","D6516732XB","ARM&BLADE SET,F,PGR",452.990066116245,2052,27,4,20,5,480,1920,0.39168,0.2,51.062091503268,96.969696969697,96.969696969697,480,120,240,1,5,TRUE,FALSE
10,1,"C10F1","DK1239080","BRKT-ENG;#4",445.982062419555,1989,29,6,12,2,280,1680,0.34272,0.12,35.0140056022409,84.8484848484848,84.8484848484849,280,240,240,1,2,TRUE,FALSE
10,1,"C10F1","DK4962361D","STRIKER-LIFTGATE",440.918891234766,772,67,1,9,9,220,220,0.04488,0.035739,79.6323529411765,11.1111111111111,11.1111111111111,220,190,95,3,3,TRUE,FALSE
10,2,"C10F2","D65133042","NUT-LCOK",449.591966685278,815,63,6,48,8,240,1440,0.29376,0.193536,65.8823529411765,72.7272727272727,72.7272727272727,240,140,120,2,4,TRUE,FALSE
10,2,"C10F2","DK1239080","BRKT-ENG;#4",445.982062419555,1989,29,1,2,2,280,280,0.05712,0.02,35.0140056022409,14.1414141414141,14.1414141414141,280,240,240,1,2,TRUE,FALSE
10,2,"C10F2","DK4962361D","STRIKER-LIFTGATE",440.918891234766,772,67,1,9,9,220,220,0.04488,0.035739,79.6323529411765,11.1111111111111,11.1111111111111,220,190,95,3,3,TRUE,FALSE
10,3,"C10F3","D6516732XB","ARM&BLADE SET,F,PGR",452.990066116245,2052,27,2,10,5,480,960,0.19584,0.1,51.062091503268,48.4848484848485,48.4848484848485,480,120,240,1,5,TRUE,FALSE
10,3,"C10F3","DK1239080","BRKT-ENG;#4",445.982062419555,1989,29,3,6,2,280,840,0.17136,0.06,35.0140056022409,42.4242424242424,42.4242424242424,280,240,240,1,2,TRUE,FALSE
10,4,"C10F4","DK1239080","BRKT-ENG;#4",445.982062419555,1989,29,7,14,2,280,1960,0.39984,0.14,35.0140056022409,98.989898989899,98.989898989899,280,240,240,1,2,TRUE,FALSE
10,5,"C10F5","DK4962361D","STRIKER-LIFTGATE",440.918891234766,772,67,3,27,9,220,660,0.13464,0.107217,79.6323529411764,33.3333333333333,33.3333333333333,220,190,95,3,3,TRUE,FALSE
10,5,"C10F5","9XG09643X0","PLUG 40X.08-1.5 PNL",440.254931558869,1563,40,4,16,4,280,1120,0.22848,0.129024,56.4705882352941,56.5656565656566,56.5656565656566,280,240,120,2,2,TRUE,FALSE
11,1,"C11F1","D65150660C","MLDG-BELTLINE,R,RH",435.297745209101,764,69,3,24,8,240,720,0.14688,0.096768,65.8823529411765,36.3636363636364,36.3636363636364,240,140,120,2,4,TRUE,FALSE
11,1,"C11F1","DN2439070","RUB-E/MTG;#4",434.204253011568,5656,5,2,4,2,560,1120,0.22848,0.12,52.5210084033613,56.5656565656566,56.5656565656566,560,240,240,1,2,TRUE,FALSE
11,2,"C11F2","D35042239","CLAMP-HOSE",438.420234007626,775,66,7,56,8,240,1680,0.34272,0.225792,65.8823529411765,84.8484848484848,84.8484848484848,240,140,120,2,4,TRUE,FALSE
11,2,"C11F2","D65150670C","MLDG-BELTLINE,R,LH",435.867134262448,766,68,1,8,8,240,240,0.04896,0.032256,65.8823529411765,12.1212121212121,12.1212121212121,240,140,120,2,4,TRUE,FALSE
11,3,"C11F3","9XG09643X0","PLUG 40X.08-1.5 PNL",440.254931558869,1563,40,5,20,4,280,1400,0.2856,0.16128,56.4705882352941,70.7070707070707,70.7070707070707,280,240,120,2,2,TRUE,FALSE
11,3,"C11F3","D65150660C","MLDG-BELTLINE,R,RH",435.297745209101,764,69,2,16,8,240,480,0.09792,0.064512,65.8823529411765,24.2424242424242,24.2424242424242,240,140,120,2,4,TRUE,FALSE
11,4,"C11F4","D65150670C","MLDG-BELTLINE,R,LH",435.867134262448,766,68,6,48,8,240,1440,0.29376,0.193536,65.8823529411765,72.7272727272727,72.7272727272727,240,140,120,2,4,TRUE,FALSE
11,4,"C11F4","D65150660C","MLDG-BELTLINE,R,RH",435.297745209101,764,69,2,16,8,240,480,0.09792,0.064512,65.8823529411765,24.2424242424242,24.2424242424242,240,140,120,2,4,TRUE,FALSE
11,5,"C11F5","DN2439070","RUB-E/MTG;#4",434.204253011568,5656,5,3,6,2,560,1680,0.34272,0.18,52.5210084033613,84.8484848484848,84.8484848484849,560,240,240,1,2,TRUE,FALSE
11,5,"C11F5","9YA420608","BOLT-EARTH",429.562346492112,744,70,1,8,8,240,240,0.04896,0.032256,65.8823529411765,12.1212121212121,12.1212121212121,240,140,120,2,4,TRUE,FALSE
12,1,"C12F1","D37437790A","JACK-PANTOGRAPH",429.728596519555,5540,6,3,6,2,560,1680,0.34272,0.18,52.5210084033613,84.8484848484848,84.8484848484849,560,240,240,1,2,TRUE,FALSE
12,1,"C12F1","9YA420608","BOLT-EARTH",429.562346492112,744,70,1,8,8,240,240,0.04896,0.032256,65.8823529411765,12.1212121212121,12.1212121212121,240,140,120,2,4,TRUE,FALSE
12,2,"C12F2","DN2439070","RUB-E/MTG;#4",434.204253011568,5656,5,2,4,2,560,1120,0.22848,0.12,52.5210084033613,56.5656565656566,56.5656565656566,560,240,240,1,2,TRUE,FALSE
12,2,"C12F2","D37437790A","JACK-PANTOGRAPH",429.728596519555,5540,6,1,2,2,560,560,0.11424,0.06,52.5210084033613,28.2828282828283,28.2828282828283,560,240,240,1,2,TRUE,FALSE
12,2,"C12F2","9YA420608","BOLT-EARTH",429.562346492112,744,70,1,8,8,240,240,0.04896,0.032256,65.8823529411765,12.1212121212121,12.1212121212121,240,140,120,2,4,TRUE,FALSE
12,3,"C12F3","DN2439070","RUB-E/MTG;#4",434.204253011568,5656,5,3,6,2,560,1680,0.34272,0.18,52.5210084033613,84.8484848484848,84.8484848484849,560,240,240,1,2,TRUE,FALSE
12,3,"C12F3","9YA420608","BOLT-EARTH",429.562346492112,744,70,1,8,8,240,240,0.04896,0.032256,65.8823529411765,12.1212121212121,12.1212121212121,240,140,120,2,4,TRUE,FALSE
12,4,"C12F4","D37437790A","JACK-PANTOGRAPH",429.728596519555,5540,6,3,6,2,560,1680,0.34272,0.18,52.5210084033613,84.8484848484848,84.8484848484849,560,240,240,1,2,TRUE,FALSE
12,4,"C12F4","9YA420608","BOLT-EARTH",429.562346492112,744,70,1,8,8,240,240,0.04896,0.032256,65.8823529411765,12.1212121212121,12.1212121212121,240,140,120,2,4,TRUE,FALSE
12,5,"C12F5","D37437790A","JACK-PANTOGRAPH",429.728596519555,5540,6,3,6,2,560,1680,0.34272,0.18,52.5210084033613,84.8484848484848,84.8484848484849,560,240,240,1,2,TRUE,FALSE
12,5,"C12F5","9YA420608","BOLT-EARTH",429.562346492112,744,70,1,8,8,240,240,0.04896,0.032256,65.8823529411765,12.1212121212121,12.1212121212121,240,140,120,2,4,TRUE,FALSE
13,1,"C13F1","DP0757730C","BELT-B",424.794067755189,3609,13,5,10,2,380,1900,0.3876,0.2,51.5995872033024,95.959595959596,95.959595959596,380,300,250,1,2,TRUE,FALSE
13,2,"C13F2","9YA420608","BOLT-EARTH",429.562346492112,744,70,1,8,8,240,240,0.04896,0.032256,65.8823529411765,12.1212121212121,12.1212121212121,240,140,120,2,4,TRUE,FALSE
13,2,"C13F2","DN24437A0","HYDRAULIC UNIT-ABS",425.088226136646,1807,34,3,12,4,560,1680,0.34272,0.12,35.0140056022409,84.8484848484848,84.8484848484849,560,240,120,2,2,TRUE,FALSE
13,3,"C13F3","DN24437A0","HYDRAULIC UNIT-ABS",425.088226136646,1807,34,3,12,4,560,1680,0.34272,0.12,35.0140056022409,84.8484848484848,84.8484848484849,560,240,120,2,2,TRUE,FALSE
13,3,"C13F3","9YB040810","NUT-FLANGE",416.36894125054,699,74,1,8,8,240,240,0.04896,0.032256,65.8823529411765,12.1212121212121,12.1212121212121,240,140,120,2,4,TRUE,FALSE
